symbol,WK0,WK2,WK4,WK8,WK79,Sex
Klhdc8a,61.99,266.71,421.92,297.52,361.19,F
Nuak2,179.11,1057.36,714.73,800.24,1674.72,F
Tmcc2,82.25,46.28,25.3,23.89,38.09,F
Dstyk,352.39,673.08,519.98,504.61,473.84,F
Rbbp5,356.04,466.13,446.61,491.96,593.19,F
Mdm4,1083.52,772.78,577.38,481.28,512.57,F
Pik3c2b,208.96,206.45,117.57,121.91,83.04,F
Ppp1r15b,877.46,678.37,875.48,872.36,1107.16,F
Plekha6,218.02,573.88,900.18,936.07,1274.06,F
Ren1,36088.31,21101.08,5721.46,4153.46,4744.7,F
Etnk2,65.7,29.51,74.37,76.91,112.09,F
Sox13,219.24,200.62,174.22,148.5,223.47,F
Snrpe,2088,1316.71,1400.92,1317.24,936.61,F
Zc3h11a,261.26,197.62,152.12,118.74,122.32,F
Gm38394,175.74,93.2,57.22,49.51,63.42,F
Lax1,15.82,20.74,9.14,11.52,68.25,F
Atp2b4,502.94,431.82,371.57,295.2,310.36,F
Prelp,110.66,505.34,1282.08,1491.52,1865.07,F
Fmod,305.26,543.67,206.15,182.49,307.93,F
Btg2,1488.62,1972.98,1226.01,1372.36,1611.03,F
