symbol	Six2-Ar-KO	Sox2-Ar-KO	Sex	FvsM
Prickle1	0.355537715788787	0.763501655177723	F	1.08053934843654
Prkag3	0.515029436815829	0.68528116421629	M	-0.819863810944141
Prkd3	-0.882265533276433	-0.842474681296347	M	-0.82896452937336
Prlr	3.71046215694085	3.86864589494665	F	4.02556148549626
Proc	-1.20900160258647	-1.93373192395435	M	-1.28093758734999
Prodh2	0.570147306403198	0.608270518413447	F	0.836309787617345
Prom1	0.807311154596941	1.00579853389055	F	1.39675749644172
Proz	-0.775816719119205	-0.894156749969929	M	-0.609657240970503
Prr5l	0.217170965174823	0.579867509641236	F	1.20863832600731
Ptgr1	-0.747317586024814	-1.06732014070636	M	-0.582337090597333
Pwwp3a	0.420612747045977	0.505332632117115	F	0.774122056200214
Pygl	0.00439669475209052	0.411416167318241	F	1.12672380212771
Pzp	-4.26252860970863	-5.59126028319834	M	-7.38824653305587
